HDP1,HDP2,HDP3,HDP4,HDP5,UDP1,UDP2,UDP3,UDP4
8,4,8,2,0,0,1,3,18
8,5,3,5,2,0,1,3,18
1,0,4,0,21,0,1,3,18
0,13,2,10,16,0,1,3,18
0,3,0,0,2,0,1,3,18
0,7,4,4,16,0,1,3,18
0,0,7,0,4,0,1,3,18
22,6,0,13,19,0,1,3,18
0,0,8,0,19,0,1,3,18
0,0,4,0,0,0,1,3,18
0,0,7,0,21,0,1,3,18
0,0,5,2,1,1,2,0,0
2,3,12,2,1,1,2,0,0
0,3,0,1,3,1,2,0,0
0,4,2,2,2,1,2,0,0
1,0,1,4,8,1,2,0,0
0,0,3,0,3,1,2,0,0
0,0,1,0,1,1,2,0,0
0,0,2,0,5,1,2,0,0
0,0,4,1,2,1,2,0,0
0,2,9,1,1,1,2,0,0
0,0,12,2,1,1,2,0,0
1,1,6,1,7,1,2,0,0
0,4,2,1,0,1,2,0,0
0,0,11,3,4,1,2,0,0
1,4,9,0,8,1,2,0,0
0,2,0,2,7,1,2,0,0
0,1,8,3,11,1,2,0,0
0,1,4,0,1,1,2,0,0
0,3,0,0,3,1,2,0,0
0,0,3,0,1,1,2,0,0
0,7,13,4,1,1,2,0,0
0,7,0,1,8,1,2,0,0
0,1,0,8,5,1,2,0,0
1,6,2,13,11,1,2,0,0
1,3,5,0,0,1,2,0,0
8,4,16,4,16,1,2,0,0
0,2,5,2,1,1,2,0,0
0,5,0,6,4,1,2,0,0
1,0,9,0,4,1,2,0,0
0,3,3,10,1,1,1,2,31
0,0,2,5,1,1,1,2,31
2,1,3,0,25,1,1,2,31
4,5,3,2,13,1,1,2,31
3,1,1,0,1,1,1,2,31
2,0,9,0,1,1,1,2,31
4,1,9,8,0,1,1,2,31
4,2,0,4,2,1,1,2,31
1,5,1,5,0,1,1,2,31
2,0,5,0,37,1,1,2,31
3,1,9,2,0,1,1,2,31
0,0,7,1,25,1,1,2,31
0,4,0,2,22,1,1,2,31
2,2,4,1,11,1,1,2,31
0,11,13,0,23,1,1,2,31
10,1,9,7,8,1,1,2,31
4,0,6,1,1,1,1,2,31
4,1,10,8,3,1,1,2,31
1,1,7,0,1,1,1,2,31
5,2,2,3,2,12,2,1,25
1,1,1,5,0,12,2,1,25
10,0,6,0,3,12,2,1,25
10,2,8,7,3,12,2,1,25
26,1,8,0,0,12,2,1,25
6,1,7,3,18,12,2,1,25
10,10,16,1,2,12,2,1,25
4,7,0,3,3,12,2,1,25
11,1,2,0,27,12,2,1,25
4,2,0,1,13,12,2,1,25
4,2,1,0,6,12,2,1,25
10,4,8,1,0,12,2,1,25
10,1,7,1,10,12,2,1,25
1,2,4,1,0,12,2,1,25
4,0,6,1,0,12,2,1,25
22,5,4,41,14,8,24,8,11
7,3,2,61,28,8,24,8,11
2,11,6,3,10,8,24,8,11
29,6,3,46,31,8,24,8,11
0,1,8,3,131,8,24,8,11
5,1,14,7,37,8,24,8,11
0,1,12,2,6,8,24,8,11
0,5,23,6,30,8,24,8,11
0,0,14,3,7,8,24,8,11
10,43,16,5,6,8,24,8,11
0,13,8,12,15,8,24,8,11
10,0,4,2,2,8,24,8,11
0,1,12,3,1,8,24,8,11
0,10,9,7,17,8,24,8,11
2,31,8,4,9,8,24,8,11
1,1,15,1,6,8,24,8,11
0,0,0,0,0,0,0,0,16
0,0,0,0,3,0,0,0,16
0,0,2,0,0,0,0,0,16
0,0,2,0,0,0,0,0,16
0,0,0,0,0,0,0,0,16
0,0,3,0,0,0,0,0,16
0,0,0,0,0,0,0,0,16
0,0,0,0,7,0,0,0,16
0,0,2,0,0,0,0,0,16
0,0,4,0,0,0,0,0,16
0,0,7,0,1,0,0,0,16
0,0,5,0,0,0,0,0,16
0,0,0,0,0,0,0,0,16
1,9,7,8,5,5,1,4,25
8,9,13,9,10,5,1,4,25
3,0,0,2,4,5,1,4,25
7,10,2,9,0,5,1,4,25
7,5,3,11,0,5,1,4,25
17,0,13,10,2,5,1,4,25
29,4,3,6,4,5,1,4,25
26,9,2,2,2,5,1,4,25
4,19,12,15,17,5,1,4,25
19,9,4,15,2,5,1,4,25
1,8,4,6,22,5,1,4,25
0,22,3,4,5,5,1,4,25
24,2,4,2,3,5,1,4,25
28,19,3,13,1,5,1,4,25
3,4,8,1,1,3,2,1,17
1,11,0,4,1,3,2,1,17
0,4,3,3,14,3,2,1,17
1,4,3,13,3,3,2,1,17
12,5,9,3,0,3,2,1,17
1,4,4,2,18,3,2,1,17
0,0,2,6,3,3,2,1,17
1,4,1,1,3,3,2,1,17
5,5,15,2,0,3,2,1,17
5,2,1,3,0,3,2,1,17
1,9,4,2,3,3,2,1,17
1,23,3,5,17,3,2,1,17
1,2,11,2,2,3,2,1,17
0,7,4,3,4,3,2,1,17
4,3,4,2,17,3,2,1,17
0,3,7,12,15,3,2,1,17
1,12,0,2,1,3,2,1,17
12,10,1,3,1,3,2,1,17
5,3,3,2,1,3,2,1,17
3,20,1,6,1,3,2,1,17
0,4,5,5,4,3,2,1,17
0,8,6,26,3,0,1,0,93
1,11,3,6,1,0,1,0,93
9,2,11,0,18,0,1,0,93
5,1,13,1,3,0,1,0,93
1,1,20,0,1,0,1,0,93
0,1,19,0,0,0,1,0,93
0,2,15,3,1,0,1,0,93
5,5,8,2,4,0,1,0,93
2,0,25,2,82,0,1,0,93
0,0,20,1,0,0,1,0,93
5,0,22,0,7,0,1,0,93
0,0,26,11,4,0,1,0,93
0,1,1,1,1,0,1,2,0
1,1,0,1,0,0,1,2,0
3,1,0,1,1,0,1,2,0
6,0,0,0,2,0,1,2,0
0,1,0,1,5,0,1,2,0
0,1,0,0,2,0,1,2,0
3,0,0,1,3,0,1,2,0
0,1,0,2,1,0,1,2,0
0,1,2,2,1,0,1,2,0
0,0,0,2,3,0,1,2,0
3,0,0,2,0,0,1,2,0
0,1,0,0,1,0,1,2,0
1,2,4,1,0,0,1,2,0
3,2,0,2,0,0,1,2,0
0,0,1,0,3,0,1,2,0
0,1,0,0,3,0,1,2,0
3,1,0,1,1,0,1,2,0
0,1,0,1,0,0,1,2,0
0,2,5,2,0,1,1,0,29
0,4,3,2,0,1,1,0,29
2,1,2,1,0,1,1,0,29
0,1,3,1,0,1,1,0,29
2,0,12,0,2,1,1,0,29
2,1,16,0,1,1,1,0,29
0,3,6,2,0,1,1,0,29
0,1,2,0,3,1,1,0,29
0,4,5,3,0,1,1,0,29
0,1,9,1,0,1,1,0,29
1,0,13,0,22,1,1,0,29
0,2,19,0,0,1,1,0,29
0,0,7,2,3,1,1,0,29
3,2,4,3,1,1,3,0,4
3,3,2,2,0,1,3,0,4
0,4,2,5,0,1,3,0,4
6,4,16,3,3,1,3,0,4
2,5,1,6,1,1,3,0,4
6,6,10,3,1,1,3,0,4
0,1,0,1,1,1,3,0,4
