HDP1,HDP2,HDP3,HDP4,HDP5,UDP1,UDP2,UDP3,UDP4
0.157142857,0.134078212,0.346666667,0.142857143,0.506666667,0.643137255,0.669090909,0.619246862,0.64137931
0.015384615,0.237113402,0.343612335,0.260869565,0.410423453,0.643137255,0.669090909,0.619246862,0.64137931
0,0.119760479,0.339285714,0.119760479,0.415584416,0.643137255,0.669090909,0.619246862,0.64137931
0.169014085,0.302439024,0.343612335,0.305555556,0.169014085,0.643137255,0.669090909,0.619246862,0.64137931
0.03030303,0.384615385,0.345132743,0.366666667,0,0.643137255,0.669090909,0.619246862,0.64137931
0.502164502,0.328638498,0.281690141,0.098039216,0.634517766,0.643137255,0.669090909,0.619246862,0.64137931
0.502512563,0.070707071,0.227722772,0.331081081,0.036585366,0.643137255,0.669090909,0.619246862,0.64137931
0.088888889,0.299516908,0.328888889,0.304761905,0.123076923,0.643137255,0.669090909,0.619246862,0.64137931
0.468899522,0.388888889,0.343612335,0.243697479,0.63681592,0.643137255,0.669090909,0.619246862,0.64137931
0.206896552,0.348314607,0.343612335,0.340909091,0.179775281,0.643137255,0.669090909,0.619246862,0.64137931
0,0.187192118,0.346666667,0.196428571,0.196363636,0.643137255,0.669090909,0.619246862,0.64137931
0.074626866,0.365591398,0.343612335,0.289855072,0.445652174,0.643137255,0.669090909,0.619246862,0.64137931
0.423146474,0.064981949,0.119298246,0.113821138,0.435146444,0.540636042,0.492625369,0.594594595,0.460227273
0.15936255,0.091549296,0.122743682,0.341166232,0.028301887,0.540636042,0.492625369,0.594594595,0.460227273
0.388059701,0.176056338,0.107913669,0.341588386,0.199143469,0.540636042,0.492625369,0.594594595,0.460227273
0.558685446,0.351375333,0.090163934,0.344290657,0.20610687,0.540636042,0.492625369,0.594594595,0.460227273
0,0.120967742,0.122302158,0.343309859,0.316151203,0.540636042,0.492625369,0.594594595,0.460227273
0.226720648,0.062222222,0.120141343,0.061135371,0.43003413,0.540636042,0.492625369,0.594594595,0.460227273
0.125,0.054794521,0.122743682,0.054298643,0.359605911,0.540636042,0.492625369,0.594594595,0.460227273
0.21875,0.083682008,0.123188406,0.089068826,0.275409836,0.540636042,0.492625369,0.594594595,0.460227273
0.335877863,0.053333333,0.123188406,0.060606061,0.296812749,0.540636042,0.492625369,0.594594595,0.460227273
