HDP2,HDP3,HDP4,HDP5,UDP1,UDP2,UDP3,UDP4
0.591501297,0.490409554,0.514008686,0.497180168,0.641293202,0.652979673,0.65104952,0.660926473
0.453977924,0.507630135,0.488690512,0.463508052,0.641293202,0.652979673,0.65104952,0.660926473
0.550048254,0.513435672,0.459889016,0.519603112,0.641293202,0.652979673,0.65104952,0.660926473
0.536974486,0.52628325,0.450735871,0.331383075,0.641293202,0.652979673,0.65104952,0.660926473
0.462784245,0.513495989,0.453043006,0.63869956,0.641293202,0.652979673,0.65104952,0.660926473
0.447810483,0.522875324,0.458607274,0.6435551,0.641293202,0.652979673,0.65104952,0.660926473
0.394595573,0.524036432,0.409840762,0.452650944,0.641293202,0.652979673,0.65104952,0.660926473
0.430393872,0.512847578,0.496109536,0.429278002,0.641293202,0.652979673,0.65104952,0.660926473
0.484875445,0.512093612,0.515411062,0.626515471,0.641293202,0.652979673,0.65104952,0.660926473
0.431268472,0.515350745,0.449122384,0.543096689,0.641293202,0.652979673,0.65104952,0.660926473
0.524926111,0.519165812,0.554360939,0.592858435,0.641293202,0.652979673,0.65104952,0.660926473
0.471892153,0.526765788,0.41365583,0.593793353,0.641293202,0.652979673,0.65104952,0.660926473
0.534290367,0.518170577,0.452379516,0.50331745,0.641293202,0.652979673,0.65104952,0.660926473
0.556652995,0.528530068,0.550621268,0.587852102,0.641293202,0.652979673,0.65104952,0.660926473
0.502020629,0.520598347,0.436289885,0.598136196,0.641293202,0.652979673,0.65104952,0.660926473
0.456601725,0.508791242,0.469886604,0.628355148,0.641293202,0.652979673,0.65104952,0.660926473
0.436877978,0.523433259,0.474395319,0.520296761,0.641293202,0.652979673,0.65104952,0.660926473
0.49711985,0.535270523,0.459919175,0.505338078,0.641293202,0.652979673,0.65104952,0.660926473
0.453284275,0.517642801,0.452123168,0.503287291,0.641293202,0.652979673,0.65104952,0.660926473
0.507569817,0.523342783,0.486187345,0.498763496,0.641293202,0.652979673,0.65104952,0.660926473
0.555310936,0.517763436,0.453163641,0.517356294,0.641293202,0.652979673,0.65104952,0.660926473
0.496320647,0.519965016,0.480291332,0.600307618,0.641293202,0.652979673,0.65104952,0.660926473
0.589360034,0.519075336,0.588017975,0.573707703,0.641293202,0.652979673,0.65104952,0.660926473
0.510695187,0.70855615,0.61631016,0.549465241,0.779411765,0.762032086,0.762032086,0.834224599
0.396390374,0.687165775,0.537433155,0.612967914,0.779411765,0.762032086,0.762032086,0.834224599
0.554144385,0.740641711,0.70855615,0.550802139,0.779411765,0.762032086,0.762032086,0.834224599
0.692513369,0.689839572,0.556149733,0.625668449,0.779411765,0.762032086,0.762032086,0.834224599
0.502005348,0.705882353,0.477272727,0.585561497,0.779411765,0.762032086,0.762032086,0.834224599
0.804144385,0.47459893,0.667112299,0.423796791,0.779411765,0.762032086,0.762032086,0.834224599
0.769385027,0.543449198,0.676470588,0.413101604,0.779411765,0.762032086,0.762032086,0.834224599
0.701203209,0.47459893,0.725935829,0.506684492,0.779411765,0.762032086,0.762032086,0.834224599
0.518048128,0.602941176,0.637700535,0.494652406,0.779411765,0.762032086,0.762032086,0.834224599
0.742647059,0.520053476,0.703208556,0.192513369,0.779411765,0.762032086,0.762032086,0.834224599
0.718582888,0.34157754,0.727272727,0.67513369,0.779411765,0.762032086,0.762032086,0.834224599
0.534090909,0.393716578,0.639037433,0.122994652,0.779411765,0.762032086,0.762032086,0.834224599
0.630347594,0.360294118,0.756684492,0.798128342,0.779411765,0.762032086,0.762032086,0.834224599
0.447192513,0.529411765,0.770053476,0.803475936,0.779411765,0.762032086,0.762032086,0.834224599
0.481283422,0.496657754,0.618983957,0.703208556,0.779411765,0.762032086,0.762032086,0.834224599
0.543449198,0.601604278,0.526737968,0.222593583,0.779411765,0.762032086,0.762032086,0.834224599
0.52473262,0.582219251,0.647058824,0.778074866,0.779411765,0.762032086,0.762032086,0.834224599
0.638368984,0.512700535,0.618983957,0.54144385,0.779411765,0.762032086,0.762032086,0.834224599
0.414438503,0.612967914,0.620320856,0.77540107,0.779411765,0.762032086,0.762032086,0.834224599
0.745989305,0.667780749,0.75,0.774064171,0.779411765,0.762032086,0.762032086,0.834224599
0.552807487,0.477941176,0.800802139,0.505347594,0.779411765,0.762032086,0.762032086,0.834224599
0.494652406,0.623663102,0.632352941,0.521390374,0.779411765,0.762032086,0.762032086,0.834224599
0.754679144,0.54144385,0.697860963,0.597593583,0.779411765,0.762032086,0.762032086,0.834224599
0.731951872,0.530748663,0.743315508,0.779411765,0.779411765,0.762032086,0.762032086,0.834224599
0.760026738,0.446524064,0.740641711,0.601604278,0.779411765,0.762032086,0.762032086,0.834224599
0.76671123,0.44184492,0.784759358,0.50802139,0.779411765,0.762032086,0.762032086,0.834224599
0.489304813,0.64973262,0.751336898,0.505347594,0.779411765,0.762032086,0.762032086,0.834224599
