HDP2,HDP3,HDP4,HDP5,UDP1,UDP2,UDP3,UDP4
4,5,5,4,3,2,1,17
20,1,6,1,3,2,1,17
0,2,6,3,3,2,1,17
4,1,1,3,3,2,1,17
2,1,3,0,3,2,1,17
2,11,2,2,3,2,1,17
3,3,2,1,3,2,1,17
11,0,4,1,3,2,1,17
4,3,3,14,3,2,1,17
2,0,3,3,3,2,1,17
4,3,13,3,3,2,1,17
5,9,3,0,3,2,1,17
4,4,2,18,3,2,1,17
1,0,2,0,3,2,1,17
5,15,2,0,3,2,1,17
9,4,2,3,3,2,1,17
23,3,5,17,3,2,1,17
7,4,3,4,3,2,1,17
2,2,1,18,3,2,1,17
3,4,2,17,3,2,1,17
3,7,12,15,3,2,1,17
12,0,2,1,3,2,1,17
10,1,3,1,3,2,1,17
1,31,1,2,0,1,0,93
0,26,11,4,0,1,0,93
6,16,12,1,0,1,0,93
1,13,1,3,0,1,0,93
3,20,3,3,0,1,0,93
1,19,0,0,0,1,0,93
5,8,2,4,0,1,0,93
0,22,0,7,0,1,0,93
30,13,27,1,0,1,0,93
8,6,26,3,0,1,0,93
0,17,1,0,0,1,0,93
11,3,6,1,0,1,0,93
2,11,0,18,0,1,0,93
0,20,1,32,0,1,0,93
1,8,0,0,0,1,0,93
1,20,0,1,0,1,0,93
2,15,3,1,0,1,0,93
2,19,1,92,0,1,0,93
14,20,1,16,0,1,0,93
1,8,1,67,0,1,0,93
1,4,1,31,0,1,0,93
0,25,2,82,0,1,0,93
8,28,3,1,0,1,0,93
0,20,1,0,0,1,0,93
0,0,0,1,0,1,2,0
1,0,1,0,0,1,2,0
1,0,1,1,0,1,2,0
1,0,0,2,0,1,2,0
0,0,1,3,0,1,2,0
1,2,2,1,0,1,2,0
1,0,0,1,0,1,2,0
1,0,0,3,0,1,2,0
1,1,1,1,0,1,2,0
1,0,1,0,0,1,2,0
1,0,1,1,0,1,2,0
0,0,0,2,0,1,2,0
1,0,1,5,0,1,2,0
1,0,1,0,0,1,2,0
1,0,0,0,0,1,2,0
1,0,2,1,0,1,2,0
0,0,2,3,0,1,2,0
