HDP1,HDP1-No
0.125,0.090909091
0.053571429,0.660714286
0.010204082,0.010204082
0.035087719,0.035087719
0.048,0.112
0.092783505,0.201030928
0.021367521,0.576923077
0.097345133,0.097345133
0.072674419,0.125
0.015045135,0.429287864
0.0661941,0.094548108
0.055,0.125
0.118668596,0.490593343
0.032877008,0.052172038
0.039370079,0.165354331
0.015574651,0.219119227
0.409090909,0.356060606
0.040843215,0.101449275
0.055520505,0.099684543
0.088,0.126222222
0.179413867,0.110078628
0.009881772,0.888359508
0.035404142,0.491649967
0.037974684,0.164556962
0.056818182,0.181818182
0.053571429,0.160714286
0.066666667,0.155555556
0.064102564,0.106060606
0.025510204,0.214285714
0.082987552,0.171507607
0.013636364,0.847727273
0.037593985,0.213032581
0.12,0.144
0.136752137,0.068376068
0.138643068,0.091445428
0.040697674,0.098837209
0.024691358,0.033950617
0.194583751,0.180541625
0.067861983,0.143020953
0.05,0.11
0.201157742,0.296671491
0.412310014,0.015414466
0.070866142,0.362204724
0.095059076,0.063372718
0.246212121,0.170454545
0.036890646,0.085638999
0.058675079,0.060567823
0.023111111,0.150222222
0.143674053,0.077197999
0.027998353,0.01711664
0.188376754,0.110220441
0.253164557,0.232067511
0.210227273,0.454545455
0.125,0.25
0.288888889,0.4
0.179487179,0.102564103
0.045918367,0.474489796
0.149377593,0.048409405
0.115909091,0.075
0.102756892,0.182957393
0.195876289,0.164948454
0.066115702,0.115702479
0.142857143,0.158730159
0.056074766,0.08411215
0.138888889,0.055555556
0.059405941,0.168316832
0.058139535,0.165697674
0.030864198,0.543209877
0.023069208,0.141424273
0.031272803,0.033461899
0.05,0.06
0.034732272,0.240231548
0.015630053,0.08300097
0.048335124,0.168098818
0.063241107,0.155467721
0.037884203,0.037884203
0.068136273,0.08750835
0.142857143,0.089285714
0.037593985,0.102756892
0.118556701,0.113402062
0.031746032,0.031746032
0.055555556,0.111111111
0.099009901,0.396039604
0.043604651,0.043604651
0.024691358,0.024691358
0.022066199,0.015045135
0.055,0.05
0.182344428,0.04341534
0.039370079,0.11023622
0.063241107,0.126482213
0.052996845,0.095268139
0.076444444,0.076444444
0.063460254,0.111556446
0.125,0.053571429
0.050125313,0.037593985
0.184,0.112
0.12371134,0.056701031
0.142857143,0.047619048
0.046728972,0.08411215
0.333333333,0.055555556
0.059405941,0.089108911
0.08,0.12
0.039370079,0.086614173
0.053571429,0.053571429
0.088888889,0.311111111
0.176,0.08
0.128865979,0.134020619
0.132231405,0.074380165
0.222222222,0.047619048
0.065420561,0.08411215
0.166666667,0.055555556
0.128712871,0.079207921
0.047008547,0.042735043
0.126843658,0.103244838
0.061046512,0.061046512
0.055,0.055
0.132262585,0.02177428
0.05511811,0.039370079
0.117424242,0.102272727
0.20126183,0.067507886
0.181636374,0.006352567
0.253164557,0.105485232
0.210227273,0.210227273
0.053571429,0.071428571
0.088888889,0.088888889
0.191142191,0.045454545
0.102040816,0.030612245
0.070539419,0.047026279
0.115909091,0.038636364
