HDP1,HDP1-No
0.624132939,0.625867061
0.843095238,0.627619048
0.638286565,0.528911565
0.731150794,0.675099206
0.851136364,0.531818182
0.826436782,0.720689655
0.941964286,0.352678571
0.706976744,0.392248062
0.754249419,0.771157631
0.765337423,0.595799906
0.746690519,0.7653548
0.769893093,0.767947664
0.690210027,0.555555556
0.476998905,0.451259584
0.599309631,0.643560133
0.894897228,0.85679573
0.702236694,0.636029303
0.656475267,0.537782749
0.820855615,0.830213904
0.709876543,0.447530864
0.503470776,0.538803276
0.700504227,0.652995699
0.624132939,0.617030581
0.822380952,0.552857143
0.731150794,0.316964286
0.843181818,0.843181818
0.413218391,0.309770115
0.272321429,0.169642857
0.570542636,0.476744186
0.712939773,0.73679189
0.677337398,0.501693767
0.710843373,0.442223439
0.870320856,0.847593583
0.444398167,0.372206025
0.818809524,0.811904762
0.804563492,0.679563492
0.870454545,0.813636364
0.892857143,0.638392857
0.727906977,0.79379845
0.652084452,0.665503668
0.668276685,0.68028225
0.694275068,0.734756098
0.546002191,0.503833516
0.546173168,0.498670213
0.513368984,0.796791444
0.731481481,0.682098765
0.84,0.748571429
0.731150794,0.523313492
0.822727273,0.613636364
0.797126437,0.806321839
0.924107143,0.620535714
0.743023256,0.208527132
0.805776147,0.803711045
0.721375339,0.686653117
0.705366922,0.667853231
0.707887701,0.851604278
0.688271605,0.549382716
0.789597087,0.789597087
0.486190476,0.475714286
0.717757937,0.23859127
0.848863636,0.386363636
0.627232143,0.892857143
0.739922481,0.341860465
0.668276685,0.579884715
0.459713647,0.309752924
0.62793456,0.512514907
0.509315718,0.464515583
0.535049288,0.489047097
0.399137047,0.383306339
0.767710664,0.743599304
0.500668449,0.449197861
0.722222222,0.592592593
0.538095238,0.682619048
0.493055556,0.592757937
0.409090909,0.794318182
0.524712644,0.76637931
0.392857143,0.486607143
0.544186047,0.697286822
0.485507246,0.561907318
0.59851345,0.471566777
0.589783343,0.675472073
0.514492531,0.583303671
0.678014905,0.678014905
0.595045853,0.662392843
0.497377355,0.505904106
0.475621191,0.574386623
0.513390071,0.637836563
0.502622636,0.543735225
0.436863038,0.698483719
0.572192513,0.446524064
0.430555556,0.765432099
0.527512181,0.62987013
0.51395252,0.390670554
0.54617381,0.54617381
0.613897477,0.560593916
0.538095238,0.755714286
0.493055556,0.732638889
0.409090909,0.838636364
0.558045977,0.592241379
0.392857143,0.857142857
0.603100775,0.433333333
0.485507246,0.285024155
0.59851345,0.676026428
0.678014905,0.714092141
0.650647065,0.356178898
0.473745898,0.701125176
0.659988788,0.637411378
0.502622636,0.420656028
0.432388765,0.634725329
0.513368984,0.461229947
0.675925926,0.398148148
0.5,0.495859454
0.51395252,0.379355824
0.613897477,0.424787206
0.696924603,0.717757937
0.811363636,0.515909091
0.797126437,0.858045977
0.933035714,0.90625
0.59379845,0.676744186
0.709611172,0.710706462
0.625668449,0.745989305
0.884090909,0.843181818
0.870535714,0.830357143
0.687984496,0.587596899
0.642989088,0.462960122
0.627934487,0.565122831
0.637195122,0.549542683
0.765941087,0.24933968
0.535049288,0.546549836
0.726174764,0.73019942
0.861933946,0.824630299
0.473112128,0.538936893
0.248511905,0.639880952
0.827272727,0.335227273
0.840229885,0.474712644
0.941964286,0.28125
0.506589147,0.317829457
0.669529433,0.375111827
0.640278433,0.45422369
0.704076001,0.361715547
0.585470085,0.618823296
0.525440944,0.357106035
0.689366681,0.650348374
0.664718835,0.487127371
0.655427632,0.58010616
0.684967141,0.374041621
0.691884695,0.416158671
0.871594168,0.644239962
0.733390138,0.408408267
0.682025233,0.475337953
0.591126408,0.640433222
0.723699764,0.586990248
0.691358025,0.561728395
0.391781202,0.477092878
0.504408565,0.563418451
0.705729167,0.607993197
0.737103175,0.619543651
0.831818182,0.625
0.819252874,0.618965517
0.861607143,0.915178571
0.612790698,0.271317829
0.638796909,0.599810785
0.809958259,0.518624528
0.761285947,0.474706344
0.680186714,0.487115572
0.572831978,0.357300136
0.641397528,0.456875498
0.768736466,0.138595236
0.68907448,0.380202629
0.681591004,0.573561521
0.58118456,0.601031411
0.542404528,0.625428625
0.760655672,0.821900892
0.518995649,0.655105149
0.657643854,0.492438046
0.952464266,0.130460238
0.646323071,0.435308256
0.776069519,0.588235294
0.632637674,0.474229447
0.745907738,0.74787415
0.737599206,0.681051587
0.825,0.859090909
0.819252874,0.760344828
0.919642857,0.924107143
0.612790698,0.649224806
0.778056052,0.726754124
0.628297105,0.761534496
0.641484749,0.693144438
0.6783954,0.44975356
0.691946537,0.738586195
0.542404528,0.808680539
0.863636364,0.808823529
0.650793172,0.617136136
0.482142857,0.523313492
0.229545455,0.168181818
0.129464286,0.549107143
0.411627907,0.379844961
0.301550388,0.277419996
0.273918967,0.392360046
0.511101974,0.510528808
0.234042944,0.183466622
0.457146769,0.513417306
0.292780786,0.321858317
0.303795387,0.383648833
0.239344328,0.299414436
0.063161641,0.072080488
0.391085173,0.388887857
0.321524064,0.39171123
0.454415224,0.400582062
0.761851616,0.712903912
0.700892857,0.708829365
0.829545455,0.829545455
0.763218391,0.696551724
0.919642857,0.75
0.686046512,0.6
0.797416021,0.80890479
0.59120935,0.620003388
0.686610077,0.631161008
0.772727273,0.810160428
0.601740153,0.640117016
0.464285714,0.277281746
0.861363636,0.643181818
0.588793103,0.337931034
0.868303571,0.424107143
0.725193798,0.74496124
0.607811568,0.534446432
0.515821192,0.724721687
0.570743075,0.612774044
0.678014905,0.691819106
0.61328748,0.519724382
0.846310834,0.882620422
0.535049288,0.585295728
0.493150581,0.479716785
0.476324426,0.581887795
0.512786807,0.878306246
0.805642265,0.946356773
0.626372626,0.647550819
0.513368984,0.25802139
0.703095238,0.646190476
0.760416667,0.735615079
0.636363636,0.297727273
0.768965517,0.422988506
0.897321429,0.758928571
0.636434109,0.626356589
0.70907139,0.681875112
0.764629542,0.78975932
0.785052673,0.603955476
0.757017662,0.589986867
0.689732319,0.667415384
0.655415171,0.576804226
0.686883899,0.632256298
0.624821706,0.60933891
0.670044058,0.695288121
0.720679012,0.49691358
0.747592996,0.703144487
0.588435374,0.618839372
0.748821,0.785718523
0.497652582,0.524485667
